Time (s),Current (A),Voltage(V)
0.4340248108,-2.9995715618,3.845553875
1.4340820313,-2.9996082783,3.8165483475
2.4341392517,-2.9996345043,3.8023273945
3.4331960678,-2.9996345043,3.7916986942
4.4332537651,-2.9996476173,3.7828991413
5.4333105087,-2.999673605,3.7752072811
6.433368206,-2.9997084141,3.7682504654
7.4334249496,-2.9997041225,3.7619030476
8.4334826469,-2.999673605,3.7559814453
9.4335393906,-2.9996900558,3.750451088
10.433596611,-2.9997034073,3.7451984882
11.4336538315,-2.9996721745,3.7402265072
12.4337110519,-2.9997055531,3.7354848385
13.4337682724,-2.9996981621,3.7309355736
14.4338254929,-2.9997124672,3.7265863419
15.4338822365,-2.9997150898,3.7223904133
16.4339399338,-2.9997193813,3.7183468342
17.4339966774,-2.999723196,3.7144534588
18.4340543747,-2.9997386932,3.7106859684
19.4341111183,-2.9997227192,3.7070372105
20.4331688881,-2.9997310638,3.7035000324
21.4332256317,-2.9997150898,3.7000892162
22.433283329,-2.9997236729,3.6967403889
23.4333400726,-2.9997308254,3.6934976578
24.4333977699,-2.999730587,3.6903305054
25.4334545135,-2.9997341633,3.6872661114
26.4335122108,-2.9997220039,3.684274435
27.4335689545,-2.9997165203,3.6813502312
28.4336266518,-2.9997253418,3.678507328
29.4336833954,-2.9997308254,3.6757116318
30.4337406158,-2.9997437,3.6729786396
31.4337978363,-2.9997458458,3.6703090668
32.4338550568,-2.9997336864,3.667691946
33.4339122772,-2.9997210503,3.6651406288
34.4339694977,-2.9997308254,3.6626121998
35.4340262413,-2.9997427464,3.6601545811
36.4340839386,-2.9997346401,3.6577203274
37.4341406822,-2.9997138977,3.6553421021
38.4331979752,-2.9997346401,3.6529972553
39.4332551956,-2.9997239113,3.6507008076
40.4333124161,-2.9997420311,3.6484358311
41.4333696365,-2.9997098446,3.6461906433
42.433426857,-2.9997274876,3.6439893246
43.4334840775,-2.9997138977,3.6418278217
44.4335412979,-2.9997222424,3.6396789551
45.4335985184,-2.9997112751,3.6375706196
46.4336557388,-2.9997167587,3.6354863644
47.4337129593,-2.9997270107,3.6334245205
48.4337701797,-2.9997279644,3.6313862801
49.4338274002,-2.9997336864,3.6293747425
50.4338846207,-2.9997117519,3.6273913383
51.4339418411,-2.9997382164,3.6254384518
52.4339990616,-2.9997208118,3.6235034466
53.4340558052,-2.9997155666,3.6215939522
54.4341130257,-2.9997251034,3.619697094
55.4331703186,-2.9997143745,3.6178300381
56.4332275391,-2.9997186661,3.6159865856
57.4332847595,-2.9997375011,3.6141369343
58.43334198,-2.9997267723,3.6123430729
59.4333992004,-2.9997332096,3.6105663776
60.4334564209,-2.999724865,3.6087946892
61.4335136414,-2.9997360706,3.607047081
62.4335708618,-2.9997315407,3.6053190231
63.4336280823,-2.999712944,3.6036038399
64.4336853027,-2.9997172356,3.6019165516
65.4337425232,-2.9997370243,3.6002390385
66.4337997437,-2.9997308254,3.5985925198
67.4338569641,-2.9997332096,3.5969595909
68.4339141846,-2.9997262955,3.5953302383
69.433971405,-2.9997324944,3.593723774
70.4340286255,-2.9997301102,3.5921413898
71.4340858459,-2.9997315407,3.5905840397
72.4341430664,-2.9997153282,3.5890467167
73.4331998825,-2.9997289181,3.5875196457
74.433257103,-2.9997179508,3.5860142708
75.4333143234,-2.9997165203,3.5845141411
76.4333715439,-2.9997074604,3.583029747
77.4334287643,-2.9997265339,3.5815672874
78.4334859848,-2.9997458458,3.5801222324
79.4335432053,-2.9997317791,3.578687191
80.4336004257,-2.9997191429,3.5772857666
81.4336576462,-2.9997224808,3.5758736134
82.4337148666,-2.9997289181,3.5744953156
83.4337720871,-2.9997358322,3.5731306076
84.4338293076,-2.999727726,3.5717763901
85.433886528,-2.9997270107,3.5703957081
86.4339437485,-2.9997398853,3.5690867901
87.4340009689,-2.9997274876,3.5677952766
88.4340581894,-2.9997360706,3.566463232
89.4341154099,-2.999724865,3.5651910305
90.433172226,-2.999735117,3.5639221668
91.4332294464,-2.9997382164,3.5626454353
92.4332866669,-2.9997296333,3.5613920689
93.4333438873,-2.9997177124,3.5601506233
94.4334011078,-2.9997332096,3.5589103699
95.4334583282,-2.9997441769,3.5576848984
96.4335155487,-2.9997382164,3.5564901829
97.4335727692,-2.9997255802,3.5552909374
98.4336299896,-2.9997401237,3.5540924072
99.4336872101,-2.9997301102,3.552921772
100.4337444305,-2.9997286797,3.5517349243
101.433801651,-2.9997355938,3.5505983829
102.4338588715,-2.9997391701,3.5494437218
103.4339160919,-2.9997274876,3.5482826233
104.4339733124,-2.9997301102,3.5471491814
105.4340305328,-2.9997446537,3.5460159779
106.4340877533,-2.9997384548,3.5448822975
107.4331450462,-2.9997432232,3.5437626839
108.4332022667,-2.9997444153,3.5426478386
109.4332590103,-2.9997329712,3.5415387154
110.4333162308,-2.9997227192,3.5404498577
111.4333734512,-2.9997522831,3.5393586159
112.4334306717,-2.9997355938,3.5382685661
113.4334878922,-2.9997317791,3.5372078419
114.4335451126,-2.9997446537,3.5361316204
115.4336023331,-2.9997293949,3.5350692272
116.4336595535,-2.9997410774,3.5340120792
117.433716774,-2.9997551441,3.5329666138
118.4337739944,-2.9997410774,3.5319032669
119.4338312149,-2.9997215271,3.5308682919
120.4338884354,-2.9997410774,3.5298120975
121.4339456558,-2.9997377396,3.528813839
122.4340028763,-2.9997348785,3.5277881622
123.4340600967,-2.9997406006,3.5267553329
124.4341173172,-2.9997439384,3.525737524
125.4331746101,-2.9997451305,3.5247249603
126.4332313538,-2.9997341633,3.5237083435
127.4332890511,-2.9997577667,3.5227332115
128.4333457947,-2.9997487068,3.5217285156
129.4334030151,-2.9997537136,3.5207233429
130.4334602356,-2.9997498989,3.5197396278
131.4335174561,-2.9997575283,3.5187547207
132.4335746765,-2.9997365475,3.5177710056
133.433631897,-2.9997437,3.5168001652
134.4336886406,-2.9997484684,3.5158150196
135.4337463379,-2.9997563362,3.5148367882
136.4338030815,-2.9997649193,3.5138583183
137.4338607788,-2.9997560978,3.5129258633
138.4339175224,-2.9997472763,3.5119566917
139.4339752197,-2.9997460842,3.5110373497
140.4340319633,-2.9997432232,3.5100550652
141.4340896606,-2.9997591972,3.5091135502
142.4331464767,-2.9997601509,3.5081622601
143.433204174,-2.9997420311,3.5072422028
144.4332609177,-2.9997282028,3.5062894821
145.433318615,-2.999735117,3.5053675175
146.4333753586,-2.9997420311,3.5044298172
147.4334330559,-2.999735117,3.5035219193
148.4334897995,-2.9997439384,3.5025837421
149.43354702,-2.9997479916,3.5016393661
150.4336042404,-2.9997596741,3.5007390976
151.4336614609,-2.9997472763,3.4998135567
152.4337182045,-2.9997634888,3.4989156723
153.4337759018,-2.9997663498,3.498003006
154.4338326454,-2.9997596741,3.4970943928
155.4338903427,-2.9997694492,3.4962048531
156.4339470863,-2.9997754097,3.4952962399
157.4340047836,-2.9997563362,3.4944097996
158.4340615273,-2.9997632504,3.4934923649
159.4341192245,-2.9997904301,3.4926002026
160.4331760406,-2.9997622967,3.4917182922
161.4332332611,-2.9997451305,3.490834713
162.4332904816,-2.9997725487,3.4899671078
163.433347702,-2.9997637272,3.4890685081
164.4334049225,-2.9997644424,3.4882009029
165.4334621429,-2.9997677803,3.4873270988
166.4335193634,-2.9997622967,3.4864616394
167.4335765839,-2.9997541904,3.4855847359
168.4336338043,-2.9997768402,3.4847159386
169.4336910248,-2.9997513294,3.4838604927
170.4337482452,-2.9997508526,3.4829866886
171.4338054657,-2.9997689724,3.4821388721
172.4338622093,-2.9997537136,3.4812643528
173.4339194298,-2.9997515678,3.4804141521
174.4339766502,-2.9997589588,3.4795665741
175.4340338707,-2.9997546673,3.4787127972
176.4340910912,-2.9997506142,3.4778790474
177.4331483841,-2.9997417927,3.4770395756
178.4332056046,-2.999758482,3.4761791229
179.433262825,-2.9997689724,3.4753546715
180.4333200455,-2.999767065,3.4745059013
181.4333772659,-2.9997656345,3.4736738205
182.4334344864,-2.9997506142,3.4728295803
183.4334917068,-2.9997625351,3.4719948769
184.4335489273,-2.999753952,3.4711732864
185.4336061478,-2.9997768402,3.4703538418
186.4336633682,-2.9997565746,3.4695298672
187.4337205887,-2.9997577667,3.4687075615
188.4337778091,-2.9997870922,3.4678902626
189.4338350296,-2.9997611046,3.4670751095
190.4338922501,-2.9997651577,3.4662511349
191.4339494705,-2.9997756481,3.465444088
192.4340062141,-2.9997618198,3.4646186829
193.4340634346,-2.9997594357,3.4638211727
194.4341206551,-2.9997534752,3.4630274773
195.433177948,-2.9997811317,3.462198019
196.4332351685,-2.9997692108,3.461401701
197.4332923889,-2.9997739792,3.4606075287
198.4333496094,-2.9997730255,3.4598269463
199.4334068298,-2.9997794628,3.4590053558
200.4334640503,-2.9997918606,3.4582283497
201.4335212708,-2.9997754097,3.4574377537
202.4335784912,-2.9997601509,3.4566452503
203.4336357117,-2.9997849464,3.4558608532
204.4336929321,-2.9997844696,3.455078125
205.4337501526,-2.9997534752,3.4542908669
206.433807373,-2.9997811317,3.4534986019
207.4338645935,-2.9997785091,3.4527168274
208.433921814,-2.9997541904,3.4519438744
209.4339790344,-2.9997861385,3.451158762
210.4340362549,-2.9997842312,3.4503760338
211.4340934753,-2.9997787476,3.4496107101
212.4331502914,-2.9997673035,3.4488530159
