Time (s),Current (A),Voltage(V)
0.4330248833,-2.9996235371,3.8218259811
1.4330816269,-2.9996345043,3.7891805172
2.4331393242,-2.9996430874,3.7732696533
3.4331960678,-2.999673605,3.7614817619
4.4332537651,-2.9996948242,3.7517447472
5.4333105087,-2.9997060299,3.7432537079
6.433368206,-2.9996950626,3.7356381416
7.4334249496,-2.9996991158,3.7286579609
8.4334826469,-2.9997031689,3.7222115993
9.4335393906,-2.9997341633,3.7161631584
10.4335970879,-2.9997358322,3.7104861736
11.4336538315,-2.9997081757,3.7051033974
12.4337115288,-2.9997181892,3.6999790668
13.4337682724,-2.9997096062,3.6950864792
14.4338254929,-2.9997329712,3.6903932095
15.432882309,-2.9997413158,3.6859014034
16.4329400063,-2.9997375011,3.6816027164
17.4329967499,-2.9997286797,3.6774270535
18.4330544472,-2.9997251034,3.673425436
19.4331111908,-2.9997332096,3.6695408821
20.4331688881,-2.9997301102,3.665760994
21.4332256317,-2.9997289181,3.6621332169
22.433283329,-2.9997320175,3.6586048603
23.4333400726,-2.9997241497,3.6551578045
24.4333977699,-2.9997355938,3.6517972946
25.4334545135,-2.9997391701,3.6485350132
26.4335122108,-2.9997437,3.6453521252
27.4335689545,-2.9997401237,3.6422615051
28.4336266518,-2.9997310638,3.639236927
29.4336833954,-2.999733448,3.6362643242
30.4337410927,-2.9997529984,3.6333620548
31.4337978363,-2.9997370243,3.630518198
32.4328551292,-2.9997293949,3.627727747
33.4329123497,-2.9997522831,3.6249825954
34.4329690933,-2.9997582436,3.6222968102
35.4330263138,-2.9997460842,3.6196575165
36.4330835342,-2.9997401237,3.6170790195
37.4331407547,-2.9997529984,3.6145339012
38.4331979752,-2.9997355938,3.6120202541
39.4332551956,-2.9997198582,3.6095519066
40.4333124161,-2.999733448,3.6071207523
41.4333696365,-2.999735117,3.6047158241
42.433426857,-2.9997451305,3.6023542881
43.4334840775,-2.9997398853,3.6000225544
44.4335412979,-2.9997282028,3.5977003574
45.4335985184,-2.9997098446,3.5954537392
46.4336557388,-2.9997141361,3.5932152271
47.4337129593,-2.9997308254,3.5909838676
48.4337701797,-2.999724865,3.5888102055
49.4338274002,-2.9997246265,3.5866627693
50.4328846931,-2.9997363091,3.584546566
51.4329419136,-2.9997274876,3.5824451447
52.4329991341,-2.9997320175,3.5803630352
53.4330558777,-2.9997437,3.5783116817
54.4331130981,-2.9997270107,3.5763013363
55.4331703186,-2.9997227192,3.5743067265
56.4332275391,-2.9997179508,3.5723302364
57.4332847595,-2.9997308254,3.5703804493
58.43334198,-2.999735117,3.5684468746
59.4333992004,-2.999735117,3.5665426254
60.4334564209,-2.999735117,3.5646727085
61.4335136414,-2.9997451305,3.5628218651
62.4335708618,-2.9997293949,3.5609760284
63.4336280823,-2.9997491837,3.5591676235
64.4336853027,-2.9997446537,3.5574200153
65.4337425232,-2.9997341633,3.55565238
66.4337997437,-2.9997527599,3.5538973808
67.4328570366,-2.9997522831,3.5521764755
68.432914257,-2.9997444153,3.5504643917
69.4329714775,-2.9997370243,3.5487787724
70.433028698,-2.9997401237,3.5470993519
71.4330859184,-2.9997270107,3.5454409122
72.4331431389,-2.9997365475,3.5438141823
73.4331998825,-2.9997358322,3.5422160625
74.433257103,-2.9997341633,3.5406155586
75.4333143234,-2.9997403622,3.5390305519
76.4333715439,-2.99974823,3.5374629498
77.4334287643,-2.9997549057,3.5359258652
78.4334859848,-2.9997372627,3.5343928337
79.4335432053,-2.9997596741,3.532902956
80.4336004257,-2.9997520447,3.5313916206
81.4336576462,-2.999777317,3.5299105644
82.4337148666,-2.9997637272,3.5284340382
83.4337720871,-2.9997513294,3.5269720554
84.4338293076,-2.9997522831,3.5255527496
85.4328866005,-2.9997663498,3.524128437
86.432943821,-2.9997513294,3.5227115154
87.4330010414,-2.9997637272,3.5213227272
88.4330582619,-2.9997630119,3.5199301243
89.4331154823,-2.9997704029,3.5185472965
90.4331727028,-2.9997735023,3.517182827
91.4332299232,-2.9997639656,3.5158288479
92.4332871437,-2.9997479916,3.51450634
93.4333438873,-2.9997484684,3.513163805
94.4334011078,-2.9997446537,3.511852026
95.4334583282,-2.9997389317,3.5105512142
96.4335155487,-2.9997444153,3.5092482567
97.4335727692,-2.9997496605,3.5079557896
98.4336299896,-2.999756813,3.5066812038
99.4336872101,-2.9997823238,3.5053989887
100.4337444305,-2.9997651577,3.5041527748
101.433801651,-2.9997661114,3.5029082298
102.4328589439,-2.9997701645,3.50167346
103.4329161644,-2.9997742176,3.5004487038
104.4329733849,-2.9997589588,3.4992008209
105.4330306053,-2.9997601509,3.4979827404
106.4330878258,-2.9997551441,3.4967772961
107.4331450462,-2.9997553825,3.4955635071
108.4332022667,-2.9997525215,3.4943768978
109.4332594872,-2.9997665882,3.4931926727
110.4333167076,-2.9997513294,3.4920082092
111.4333739281,-2.9997546673,3.4908359051
112.4334311485,-2.9997575283,3.4896786213
113.4334878922,-2.9997630119,3.4885122776
114.4335451126,-2.9997675419,3.4873528481
115.4336023331,-2.9997634888,3.4861984253
116.4336595535,-2.9997458458,3.4850640297
117.433716774,-2.9997537136,3.4839296341
118.4337739944,-2.9997589588,3.4828209877
119.4338312149,-2.9997601509,3.4817070961
120.432888031,-2.999767065,3.4805791378
121.4329457283,-2.9997675419,3.4794719219
122.4330024719,-2.9997684956,3.4783699512
123.4330601692,-2.9997601509,3.4772791862
124.4331169128,-2.9997701645,3.4761972427
125.4331746101,-2.9997525215,3.4751062393
126.4332313538,-2.9997437,3.4740321636
127.4332890511,-2.9997551441,3.4729526043
128.4333457947,-2.9997630119,3.4718894958
129.433403492,-2.9997680187,3.4708204269
130.4334602356,-2.9997775555,3.4697694778
131.4335179329,-2.9997727871,3.468726635
132.4335746765,-2.9997677803,3.467663765
133.433631897,-2.9997787476,3.4666395187
134.4336891174,-2.999765873,3.4655952454
135.4337463379,-2.9997706413,3.4645605087
136.4338030815,-2.9997496605,3.4635384083
137.4328608513,-2.9997603893,3.4625313282
138.4329175949,-2.9997632504,3.461493969
139.4329752922,-2.9997632504,3.4604873657
140.4330320358,-2.9997563362,3.4594712257
141.4330897331,-2.9997665882,3.4584553242
142.4331464767,-2.9997680187,3.4574513435
143.433204174,-2.9997749329,3.4564499855
144.4332609177,-2.9997673035,3.4554533958
145.433318615,-2.999767065,3.4544482231
146.4333753586,-2.9997608662,3.4534926414
147.4334330559,-2.9997699261,3.4524953365
148.4334897995,-2.9997632504,3.4515225887
149.4335474968,-2.9997801781,3.4505496025
150.4336042404,-2.9997632504,3.4496107101
151.4336619377,-2.999774456,3.4486505985
152.4337186813,-2.9997508526,3.4476919174
153.4337759018,-2.9997625351,3.4467256069
154.4338331223,-2.9997582436,3.4457740784
155.4328899384,-2.9997608662,3.4448213577
156.4329471588,-2.999767065,3.4438889027
157.4330043793,-2.999771595,3.4429268837
158.4330615997,-2.9997813702,3.4419834614
159.4331188202,-2.999755621,3.4410748482
